ADM2_EN,county,Sub_County,Ward,Latitude,Longitude,Report_Dat,Disease_Co,Species_Af,Number_at_,Number_Sick,Number_Dea,Number_Sla,Number_Des,Number_Hum,Number_Vac,Incidence
Kiambu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kibra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kibwezi East,Makueni,Kibwezi East,Thange,-2.462502,37.95426567,12/11/2024,Rabies,Cattle,1,1,0,0,0,6,1,0.5
Kibwezi West,Makueni,Kibwezi West,Kikumbulyu North,-2.207443383,38.05536807,5/8/2024,Rabies,Dogs,3,1,0,0,0,7,1,0.25
Kibwezi West,Makueni,Kibwezi West,Makindu,-2.152033,37.774416,2/9/2024,Rabies,Cattle,1,2,0,0,0,0,4,0.666666667
Kibwezi West,Makueni,Kibwezi West,Makindu,-2.1699405,37.7843752,2/9/2024,Rabies,Dogs,0,4,0,0,0,0,4,1
Kibwezi West,Makueni,Kibwezi West,Makindu,-2.2208657,37.7441976,1/13/2024,Rabies,Dogs,5,0,1,0,1,0,8,0
Kieni,Nyeri,Kieni,Mweiga,-0.3404648,36.87867,5/18/2024,Rabies,Goats,0,1,0,0,1,0,0,1
Kigumo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiharu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kikuyu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kilgoris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kilifi North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kilifi South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kilimani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kilome,Makueni,Kilome,Kasikeu,-1.94330444,37.3620489,4/1/2024,Rabies,Dogs,1,1,0,0,0,0,1,0.5
Kilome,Makueni,Kilome,Kasikeu,-1.94720002,37.38477785,12/11/2024,Rabies,Dogs,5,1,0,0,0,0,0,0.166666667
Kilome,Makueni,Kilome,Kasikeu,-1.99357911,37.35437437,6/26/2024,Rabies,Cattle,300,1,1,0,1,0,0,0.003322259
Kilome,Makueni,Kilome,Kasikeu,-1.9596155,37.3137483,2/28/2024,Rabies,Dogs,2,2,0,0,0,0,2,0.5
Kimilili,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiminini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kinango,Kwale,Kinango,Mackinnon Road,-3.7328273,39.0474669,3/3/2024,Rabies,Dogs,2,1,0,0,0,15,0,0.333333333
